glove	gloves
phenomenon	phenomena
echo	echoes
hero	heroes
potato	potatoes
tomato	tomatoes
boy	boys
bonus	bonuses
buoy	buoys
tooth	teeth
foot	feet
addendum	addenda
bacterium	bacteria
curriculum	curricula
datum	data
memorandum	memoranda
quantum	quanta
die	dice
canvas	canvases
status	statuses
analysis	analyses
basis	bases
diagnosis	diagnoses
parenthesis	parentheses
prognosis	prognoses
synopsis	synopses
thesis	theses
octopus	octopi
virus	viri
hive	hives
movie	movies
shoe	shoes
database	databases
matrix	matrices
matrex	matrices
vertix	vertices
vertex	vertices
indix	indices
index	indices
louse	lice
mouse	mice
ox	oxen
corpus	corpuses|corpora
opus	opuses|opera
genus	genera
mythos	mythoi
penis	penises|penes
testis	testes
atlas	atlases|atlantes
yes	yeses
child	children
chili	chilis|chilies
brother	brothers|brethren
infinity	infinities|infinity
loaf	loaves
lore	lores|lore
hoof	hoofs|hooves
beef	beefs|beeves
thief	thiefs|thieves
money	monies
mongoose	mongooses
cow	cows|kine
graffito	graffiti
octopus	octopuses|octopodes
genie	genies|genii
ganglion	ganglions|ganglia
trilby	trilbys
turf	turfs|turves
numen	numina
atman	atmas
occiput	occiputs|occipita
sabretooth	sabretooths
sabertooth	sabertooths
lowlife	lowlifes
flatfoot	flatfoots
tenderfoot	tenderfoots
romany	romanies
jerry	jerries
mary	maries
talouse	talouses
rom	roma
carmen	carmina
Romany	Romanies
Jerry	Jerrys
Mary	Marys
Rom	Roma
prima donna	prima donnas|prime donne
ephemeris	ephemerises|ephemerides
iris	irises|irides
clitoris	clitorises|clitorides
chrysalis	chrysalises|chrysalides
epididymis	epididymises|epididymides
anathema	anathemata
bema	bemata
carcinoma	carcinomata
charisma	charismata
diploma	diplomata
dogma	dogmata
drama	dramata
edema	edemata
enema	enemata
enigma	enigmata
lemma	lemmata
lymphoma	lymphomata
magma	magmata
melisma	melismata
miasma	miasmata
oedema	oedemata
sarcoma	sarcomata
schema	schemata
soma	somata
stigma	stigmata
stoma	stomata
trauma	traumata
gumma	gummata
pragma	pragmata
alumna	alumnae
alga	algae
vertebra	vertebrae
persona	personae
vita	vitae
amoeba	amoebas|amoebae
antenna	antennas|antennae
formula	formulas|formulae
hyperbola	hyperbolas|hyperbolae
medusa	medusas|medusae
nebula	nebulas|nebulae
parabola	parabolas|parabolae
abscissa	abscissas|abscissae
hydra	hydras|hydrae
nova	novas|novae
lacuna	lacunas|lacunae
aurora	auroras|aurorae
umbra	umbras|umbrae
flora	floras|florae
fauna	faunas|faunae
stamen	stamens|stamina
foramen	foramens|foramina
lumen	lumens|lumina
agendum	agenda
desideratum	desiderata
erratum	errata
stratum	strata
ovum	ova
extremum	extrema
candelabrum	candelabra
maximum	maximums|maxima
minimum	minimums|minima
momentum	momentums|momenta
optimum	optimums|optima
quantum	quantums|quanta
cranium	craniums|crania
curriculum	curriculums|curricula
dictum	dictums|dicta
phylum	phylums|phyla
aquarium	aquariums|aquaria
compendium	compendiums|compendia
emporium	emporiums|emporia
encomium	encomiums|encomia
gymnasium	gymnasiums|gymnasia
honorarium	honorariums|honoraria
interregnum	interregnums|interregna
lustrum	lustrums|lustra
memorandum	memorandums|memoranda
millennium	millenniums|millennia
rostrum	rostrums|rostra
spectrum	spectrums|spectra
speculum	speculums|specula
stadium	stadiums|stadia
trapezium	trapeziums|trapezia
ultimatum	ultimatums|ultimata
medium	mediums|media
vacuum	vacuums|vacua
velum	velums|vela
consortium	consortiums|consortia
arboretum	arboretums|arboreta
alumnus	alumni
alveolus	alveoli
bacillus	bacilli
bronchus	bronchi
locus	loci
nucleus	nuclei
stimulus	stimuli
meniscus	menisci
sarcophagus	sarcophagi
focus	focuses|foci
radius	radiuses|radii
genius	geniuses|genii
incubus	incubuses|incubi
succubus	succubuses|succubi
nimbus	nimbuses|nimbi
fungus	funguses|fungi
nucleolus	nucleoluses|nucleoli
stylus	styluses|styli
torus	toruses|tori
umbilicus	umbilicuses|umbilici
uterus	uteruses|uteri
hippopotamus	hippopotamuses|hippopotami
cactus	cactuses|cacti
status	statuses|status
apparatus	apparatuses|apparatus
prospectus	prospectuses|prospectus
sinus	sinuses|sinus
hiatus	hiatuses|hiatus
impetus	impetuses|impetus
plexus	plexuses|plexus
criterion	criteria
perihelion	perihelia
aphelion	aphelia
prolegomenon	prolegomena
noumenon	noumena
organon	organa
asyndeton	asyndeta
hyperbaton	hyperbata
oxymoron	oxymorons|oxymora
solo	solos|sola
soprano	sopranos|soprana
basso	bassos|bassa
alto	altos|alta
contralto	contraltos|contralta
tempo	tempos|tempa
piano	pianos|piana
virtuoso	virtuosos|virtuosa
aficionado	aficionados
aggro	aggros
albino	albinos
allegro	allegros
ammo	ammos
Antananarivo	Antananarivos
archipelago	archipelagos
armadillo	armadillos
auto	autos
avocado	avocados
Bamako	Bamakos
Barquisimeto	Barquisimetos
bimbo	bimbos
bingo	bingos
Biro	Biros
bolero	boleros
Bolzano	Bolzanos
bongo	bongos
Boto	Botos
burro	burros
Cairo	Cairos
canto	cantos
cappuccino	cappuccinos
casino	casinos
cello	cellos
Chicago	Chicagos
Chimango	Chimangos
cilantro	cilantros
cochito	cochitos
coco	cocos
Colombo	Colombos
Colorado	Colorados
commando	commandos
concertino	concertinos
contango	contangos
credo	credos
crescendo	crescendos
cyano	cyanos
demo	demos
ditto	dittos
Draco	Dracos
dynamo	dynamos
embryo	embryos
Esperanto	Esperantos
espresso	espressos
euro	euros
falsetto	falsettos
Faro	Faros
fiasco	fiascos
Filipino	Filipinos
flamenco	flamencos
furioso	furiosos
generalissimo	generalissimos
Gestapo	Gestapos
ghetto	ghettos
gigolo	gigolos
gizmo	gizmos
Greensboro	Greensboros
gringo	gringos
Guaiabero	Guaiaberos
guano	guanos
gumbo	gumbos
gyro	gyros
hairdo	hairdos
hippo	hippos
Idaho	Idahos
impetigo	impetigos
inferno	infernos
info	infos
intermezzo	intermezzos
intertrigo	intertrigos
Iquico	Iquicos
jumbo	jumbos
junto	juntos
Kakapo	Kakapos
kilo	kilos
Kinkimavo	Kinkimavos
Kokako	Kokakos
Kosovo	Kosovos
Lesotho	Lesothos
libero	liberos
libido	libidos
libretto	librettos
lido	lidos
Lilo	Lilos
limbo	limbos
limo	limos
lineno	linenos
lingo	lingos
lino	linos
livedo	livedos
loco	locos
logo	logos
lumbago	lumbagos
macho	machos
macro	macros
mafioso	mafiosos
magneto	magnetos
magnifico	magnificos
Majuro	Majuros
Malabo	Malabos
manifesto	manifestos
Maputo	Maputos
Maracaibo	Maracaibos
medico	medicos
memo	memos
metro	metros
Mexico	Mexicos
micro	micros
Milano	Milanos
Monaco	Monacos
mono	monos
Montenegro	Montenegros
Morocco	Moroccos
Muqdisho	Muqdishos
myo	myos
neutrino	neutrinos
Ningbo	Ningbos
octavo	octavos
oregano	oreganos
Orinoco	Orinocos
Orlando	Orlandos
Oslo	Oslos
panto	pantos
Paramaribo	Paramaribos
Pardusco	Parduscos
pedalo	pedalos
photo	photos
pimento	pimentos
pinto	pintos
pleco	plecos
Pluto	Plutos
pogo	pogos
polo	polos
poncho	ponchos
Porto-Novo	Porto-Novos
Porto	Portos
pro	pros
psycho	psychos
pueblo	pueblos
quarto	quartos
Quito	Quitos
repo	repos
rhino	rhinos
risotto	risottos
rococo	rococos
rondo	rondos
Sacramento	Sacramentos
saddo	saddos
sago	sagos
salvo	salvos
Santiago	Santiagos
Sapporo	Sapporos
Sarajevo	Sarajevos
scherzando	scherzandos
scherzo	scherzos
silo	silos
sirocco	siroccos
sombrero	sombreros
staccato	staccatos
sterno	sternos
stucco	stuccos
stylo	stylos
sumo	sumos
Taiko	Taikos
techno	technos
terrazzo	terrazzos
testudo	testudos
timpano	timpanos
tiro	tiros
tobacco	tobaccos
Togo	Togos
Tokyo	Tokyos
torero	toreros
Torino	Torinos
Toronto	Torontos
torso	torsos
tremolo	tremolos
typo	typos
tyro	tyros
ufo	ufos
UNESCO	UNESCOs
vaquero	vaqueros
vermicello	vermicellos
verso	versos
vibrato	vibratos
violoncello	violoncellos
Virgo	Virgos
weirdo	weirdos
WHO	WHOs
WTO	WTOs
Yamoussoukro	Yamoussoukros
yo-yo	yo-yos
zero	zeros
Zibo	Zibos
czech	czechs
eunuch	eunuchs
stomach	stomachs
codex	codices
murex	murices
silex	silices
helix	helices
radix	radices
vortex	vortexes|vortices
vertex	vertexes|vertices
cortex	cortexes|cortices
latex	latexes|latices
pontifex	pontifexes|pontifices
apex	apexes|apices
index	indexes|indices
simplex	simplexes|simplices
appendix	appendixes|appendices
afrit	afriti
afreet	afreeti
efreet	efreeti
goy	goyim
seraph	seraphim
cherub	cherubim
ataman	atamans
caiman	caimans
cayman	caymans
ceriman	cerimans
desman	desmans
dolman	dolmans
farman	farmans
harman	harmans
hetman	hetmans
human	humans
leman	lemans
ottoman	ottomans
shaman	shamans
talisman	talismans
Alabaman	Alabamans
Bahaman	Bahamans
Burman	Burmans
German	Germans
Hiroshiman	Hiroshimans
Liman	Limans
Nakayaman	Nakayamans
Norman	Normans
Oklahoman	Oklahomans
Panaman	Panamans
Roman	Romans
Selman	Selmans
Sonaman	Sonamans
Tacoman	Tacomans
Yakiman	Yakimans
Yokohaman	Yokohamans
Yuman	Yumans
wildebeest	wildebeests|wildebeest
swine	swines|swine
eland	elands|eland
bison	bisons|bison
buffalo	buffaloes|buffalos|buffalo
cattle	cattles|cattle
elk	elks|elk
rhinoceros	rhinoceross|rhinoceros
zucchini	zucchinis|zucchini
caribou	caribous|caribou
dace	daces|dace
grouse	grouses|grouse
guinea fowl	guinea fowls|guinea fowl
guinea-fowl	guinea-fowls|guinea-fowl
haddock	haddocks|haddock
hake	hakes|hake
halibut	halibuts|halibut
herring	herrings|herring
mackerel	mackerels|mackerel
pickerel	pickerels|pickerel
pike	pikes|pike
roe	roes|roe
seed	seeds|seed
shad	shads|shad
snipe	snipes|snipe
teal	teals|teal
turbot	turbots|turbot
water fowl	water fowls|water fowl
water-fowl	water-fowls|water-fowl
acropolis	acropolises
aegis	aegises
alias	aliases
asbestos	asbestoses
bathos	bathoses
bias	biases
bronchitis	bronchitises
bursitis	bursitises
caddis	caddises
cannabis	cannabises
chaos	chaoses
cosmos	cosmoses
dais	daises
digitalis	digitalises
epidermis	epidermises
ethos	ethoses
eyas	eyases
gas	gases
glottis	glottises
hubris	hubrises
ibis	ibises
lens	lenses
mantis	mantises
marquis	marquises
metropolis	metropolises
pathos	pathoses
pelvis	pelvises
polis	polises
rhinoceros	rhinoceroses
sassafras	sassafrases
trellis	trellises
Bolshoi	Bolshois
Hanoi	Hanois
Betelgeuse	Betelgeuses
Duse	Duses
Meuse	Meuses
Syracuse	Syracuses
Toulouse	Toulouses
abuse	abuses
applause	applauses
blouse	blouses
carouse	carouses
cause	causes
chartreuse	chartreuses
clause	clauses
contuse	contuses
douse	douses
excuse	excuses
fuse	fuses
grouse	grouses
hypotenuse	hypotenuses
masseuse	masseuses
menopause	menopauses
misuse	misuses
muse	muses
overuse	overuses
pause	pauses
peruse	peruses
profuse	profuses
recluse	recluses
reuse	reuses
ruse	ruses
souse	souses
spouse	spouses
suffuse	suffuses
transfuse	transfuses
use	uses
Addie	Addies
Aggie	Aggies
Allie	Allies
Amie	Amies
Angie	Angies
Annie	Annies
Annmarie	Annmaries
Archie	Archies
Artie	Arties
Aussie	Aussies
Barbie	Barbies
Barrie	Barries
Basie	Basies
Bennie	Bennies
Bernie	Bernies
Bertie	Berties
Bessie	Bessies
Bettie	Betties
Billie	Billies
Blondie	Blondies
Bobbie	Bobbies
Bonnie	Bonnies
Bowie	Bowies
Brandie	Brandies
Brie	Bries
Brownie	Brownies
Callie	Callies
Carnegie	Carnegies
Carrie	Carries
Cassie	Cassies
Charlie	Charlies
Cherie	Cheries
Christie	Christies
Connie	Connies
Curie	Curies
Dannie	Dannies
Debbie	Debbies
Dixie	Dixies
Dollie	Dollies
Donnie	Donnies
Drambuie	Drambuies
Eddie	Eddies
Effie	Effies
Ellie	Ellies
Elsie	Elsies
Erie	Eries
Ernie	Ernies
Essie	Essies
Eugenie	Eugenies
Fannie	Fannies
Flossie	Flossies
Frankie	Frankies
Freddie	Freddies
Gillespie	Gillespies
Goldie	Goldies
Gracie	Gracies
Guthrie	Guthries
Hallie	Hallies
Hattie	Hatties
Hettie	Hetties
Hollie	Hollies
Jackie	Jackies
Jamie	Jamies
Janie	Janies
Jannie	Jannies
Jeanie	Jeanies
Jeannie	Jeannies
Jennie	Jennies
Jessie	Jessies
Jimmie	Jimmies
Jodie	Jodies
Johnie	Johnies
Johnnie	Johnnies
Josie	Josies
Julie	Julies
Kalgoorlie	Kalgoorlies
Kathie	Kathies
Katie	Katies
Kellie	Kellies
Kewpie	Kewpies
Kristie	Kristies
Laramie	Laramies
Lassie	Lassies
Laurie	Lauries
Leslie	Leslies
Lessie	Lessies
Lillie	Lillies
Lizzie	Lizzies
Lonnie	Lonnies
Lorie	Lories
Lorrie	Lorries
Lottie	Lotties
Louie	Louies
Mackenzie	Mackenzies
Maggie	Maggies
Maisie	Maisies
Mamie	Mamies
Marcie	Marcies
Margie	Margies
Marie	Maries
Marjorie	Marjories
Mattie	Matties
McKenzie	McKenzies
Melanie	Melanies
Mickie	Mickies
Millie	Millies
Minnie	Minnies
Mollie	Mollies
Mountie	Mounties
Nannie	Nannies
Natalie	Natalies
Nellie	Nellies
Nettie	Netties
Ollie	Ollies
Ozzie	Ozzies
Pearlie	Pearlies
Pottawatomie	Pottawatomies
Reggie	Reggies
Richie	Richies
Rickie	Rickies
Robbie	Robbies
Ronnie	Ronnies
Rosalie	Rosalies
Rosemarie	Rosemaries
Rosie	Rosies
Roxie	Roxies
Rushdie	Rushdies
Ruthie	Ruthies
Sadie	Sadies
Sallie	Sallies
Sammie	Sammies
Scottie	Scotties
Selassie	Selassies
Sherrie	Sherries
Sophie	Sophies
Stacie	Stacies
Stefanie	Stefanies
Stephanie	Stephanies
Stevie	Stevies
Susie	Susies
Sylvie	Sylvies
Tammie	Tammies
Terrie	Terries
Tessie	Tessies
Tommie	Tommies
Tracie	Tracies
Trekkie	Trekkies
Valarie	Valaries
Valerie	Valeries
Valkyrie	Valkyries
Vickie	Vickies
Virgie	Virgies
Willie	Willies
Winnie	Winnies
Wylie	Wylies
Yorkie	Yorkies
aerie	aeries
baggie	baggies
belie	belies
biggie	biggies
birdie	birdies
bogie	bogies
bonnie	bonnies
boogie	boogies
bookie	bookies
bourgeoisie	bourgeoisies
brownie	brownies
budgie	budgies
caddie	caddies
calorie	calories
camaraderie	camaraderies
cockamamie	cockamamies
collie	collies
cookie	cookies
coolie	coolies
cootie	cooties
coterie	coteries
crappie	crappies
curie	curies
cutesie	cutesies
dogie	dogies
eyrie	eyries
floozie	floozies
footsie	footsies
freebie	freebies
genie	genies
goalie	goalies
groupie	groupies
hie	hies
jalousie	jalousies
junkie	junkies
kiddie	kiddies
laddie	laddies
lassie	lassies
lie	lies
lingerie	lingeries
magpie	magpies
menagerie	menageries
mommie	mommies
necktie	neckties
newbie	newbies
nightie	nighties
oldie	oldies
organdie	organdies
overlie	overlies
pie	pies
pinkie	pinkies
pixie	pixies
potpie	potpies
prairie	prairies
quickie	quickies
reverie	reveries
rookie	rookies
rotisserie	rotisseries
softie	softies
sortie	sorties
specie	species
stymie	stymies
sweetie	sweeties
tie	ties
underlie	underlies
untie	unties
veggie	veggies
vie	vies
yuppie	yuppies
zombie	zombies
Chloe	Chloes
Crusoe	Crusoes
Defoe	Defoes
Faeroe	Faeroes
Ivanhoe	Ivanhoes
Joe	Joes
McEnroe	McEnroes
Moe	Moes
Monroe	Monroes
Noe	Noes
Poe	Poes
Roscoe	Roscoes
Tahoe	Tahoes
Tippecanoe	Tippecanoes
Zoe	Zoes
aloe	aloes
backhoe	backhoes
canoe	canoes
doe	does
floe	floes
foe	foes
hoe	hoes
mistletoe	mistletoes
oboe	oboes
pekoe	pekoes
roe	roes
sloe	sloes
throe	throes
tiptoe	tiptoes
toe	toes
woe	woes
quartz	quartzes
topaz	topazes
buzz	buzzes
fizz	fizzes
frizz	frizzes
razz	razzes
Andromache	Andromaches
Apache	Apaches
Blanche	Blanches
Comanche	Comanches
Nietzsche	Nietzsches
Porsche	Porsches
Roche	Roches
ache	aches
avalanche	avalanches
backache	backaches
bellyache	bellyaches
cache	caches
cloche	cloches
creche	creches
douche	douches
earache	earaches
fiche	fiches
headache	headaches
heartache	heartaches
microfiche	microfiches
niche	niches
pastiche	pastiches
psyche	psyches
quiche	quiches
stomachache	stomachaches
toothache	toothaches
tranche	tranches
annexe	annexes
axe	axes
deluxe	deluxes
pickaxe	pickaxes
Hesse	Hesses
Jesse	Jesses
Larousse	Larousses
Matisse	Matisses
bouillabaisse	bouillabaisses
crevasse	crevasses
demitasse	demitasses
impasse	impasses
mousse	mousses
posse	posses
Clive	Clives
Palmolive	Palmolives
interweave	interweaves
weave	weaves
olive	olives
bivalve	bivalves
dissolve	dissolves
resolve	resolves
salve	salves
twelve	twelves
valve	valves
amanuensis	amanuenses
amniocentesis	amniocenteses
antithesis	antitheses
apotheosis	apotheoses
arteriosclerosis	arterioscleroses
atherosclerosis	atheroscleroses
axis	axes
catalysis	catalyses
catharsis	catharses
chassis	chasses
cirrhosis	cirrhoses
coccis	cocces
crisis	crises
dialysis	dialyses
dieresis	diereses
electrolysis	electrolyses
emphasis	emphases
exegesis	exegeses
genesis	geneses
halitosis	halitoses
hydrolysis	hydrolyses
hypnosis	hypnoses
hypothesis	hypotheses
hysteresis	hystereses
metamorphosis	metamorphoses
metastasis	metastases
misdiagnosis	misdiagnoses
mitosis	mitoses
mononucleosis	mononucleoses
narcosis	narcoses
necrosis	necroses
nemesis	nemeses
neurosis	neuroses
oasis	oases
osmosis	osmoses
osteoporosis	osteoporoses
paralysis	paralyses
parthenogenesis	parthenogeneses
periphrasis	periphrases
photosynthesis	photosyntheses
proboscis	probosces
prophylaxis	prophylaxes
prosthesis	prostheses
precis	preces
psoriasis	psoriases
psychoanalysis	psychoanalyses
psychokinesis	psychokineses
psychosis	psychoses
sclerosis	scleroses
scoliosis	scolioses
sepsis	sepses
silicosis	silicoses
symbiosis	symbioses
synthesis	syntheses
taxis	taxes
telekinesis	telekineses
thrombosis	thromboses
tuberculosis	tuberculoses
urinalysis	urinalyses
I	we
myself	ourselves
yourself	yourselves
she	they
herself	themselves
he	they
himself	themselves
it	they
itself	themselves
themself	themselves
mine	ours
hers	theirs
his	theirs
its	theirs
me	us
her	them
him	them
it	them
am	are
are	is
were	was
have	has
do	does
act	acts
blame	blames
fly	flies
copy	copies
drink	drinks
fight	fights
fire	fires
like	likes
look	looks
make	makes
reach	reaches
run	runs
sink	sinks
sleep	sleeps
view	views
aquarium	aquariums
oaf	oafs
sma	smas
no	noes
money	monies
person	people
lemma	lemmas
Jones	Joneses
quiz	quizzes
thief	thieves